joke_id,joke_category,joke_category_reduced
1,doctor,doctor
2,relationship,relationship
3,others,others
4,man,man
5,technology,technology
6,politics,politics
7,others,others
8,others,others
9,others,others
10,others,others
11,others,others
12,others,others
13,politics,politics
14,relationship,relationship
15,others,others
16,food,food
17,man,man
18,Animals,animal
19,others,others
20,others,others
21,others,others
22,others,others
23,others,others
24,others,others
25,others,others
26,relationship,relationship
27,politics,politics
28,technology,technology
29,others,others
30,others,others
31,politics,politics
32,man,man
33,man,man
34,school,school
35,others,others
36,others,others
37,doctor,doctor
38,food,food
39,man,man
40,others,others
41,others,others
42,man,man
43,others,others
44,Animals,animal
45,school,school
46,relationship,relationship
47,technology,technology
48,technology,technology
49,technology,technology
50,others,others
51,Animals,animal
52,others,others
53,relationship,relationship
54,others,others
55,others,others
56,others,others
57,others,others
58,"Animals, technology",animal
59,politics,politics
60,animals,animal
61,"politics,animals",politics
62,technology,technology
63,technology,technology
64,others,others
65,food,food
66,technology,technology
67,relationship,relationship
68,"man, technology",man
69,relationship,relationship
70,others,others
71,technology,technology
72,school,school
73,politics,politics
74,man,man
75,"man,animals",animal
76,others,others
77,politics,politics
78,politics,politics
79,others,others
80,politics,politics
81,others,others
82,technology,technology
83,"man, relationship",relationship
84,technology,technology
85,"politics, technology",politics
86,"food, technology",food
87,doctor,doctor
88,doctor,doctor
89,technology,technology
90,technology,technology
91,"animal, food",animal
92,school,school
93,technology,technology
94,technology,technology
95,others,others
96,food,food
97,school,school
98,others,others
99,others,others
100,"politic,other",politics
101,others,others
102,"school,others",school
103,doctor,doctor
104,"school, technology",school
105,others,others
106,technology,technology
107,food,food
108,relationship,relationship
109,others,others
110,school,school
111,others,others
112,others,others
113,others,others
114,others,others
115,technology,technology
116,others,others
117,others,others
118,others,others
119,school,school
120,technology,technology
121,others,others
122,technology,technology
123,others,others
124,others,others
125,food,food
126,others,others
127,politics,politics
128,politics,politics
129,relationship,relationship
130,"man, doctor",man
131,doctor,doctor
132,relationship,relationship
133,others,others
134,doctor,doctor
135,man,man
136,man,man
137,animal,animal
138,politics,politics
139,others,others
140,others,others
141,food,food
142,"food, man",religion
143,others,others
144,relationship,relationship
145,others,others
146,others,others
147,others,others
148,school,school
149,relationship,relationship
150,others,others
